Name,Link
"James (Smiling Friends) (Michael Cusack) (RVC v2, RMVPE) (200 Epochs)",https://huggingface.co/MrSneakyD/SmilingFriends_RVC_Models/resolve/main/James-SmilingFriends.zip
Michael Afton (FNAF: Sister Location) (RVC v2) (TITAN-Medium) (RVMPE) (400 Epochs),https://huggingface.co/FurnTheFurnace/RVCModels/resolve/main/Michael-FNAFSL_400e.zip**
Pan Flute (BFDIA) (RMVPE) (TITAN) (RVC V2 - 300 Epochs),https://huggingface.co/AmanBOT/PanFluteBFDI/resolve/main/PanFluteBFDI.zip?download=true
Aran Ryan [Punch-Out!! Wii | TITAN-Retrained] (RVC v2 | 400 Epochs),https://huggingface.co/SyberGen/PunchOut-VModels/resolve/main/AranRyan-PunchOutWii.zip?download=true
"Legends Go On (Hybrid Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitFusionRVCModels/resolve/main/LegendsGoOnHybridDrums.zip?download=true
"Sweet Dreams After Midnight (Hybrid Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitFusionRVCModels/resolve/main/SweetDreamsAfterMidnightHybridDrums.zip?download=true
Trip (Facade / Façade) (TITAN Pretrain) (RVC v2) (180 Epochs),https://huggingface.co/thedoodooman/myverycoolaimodels/resolve/main/FacadeTrip.zip?download=true
Antoine D'Coolette - AllDayRaffyAdrenalineDubs (Archie Sonic) RVC V2-TITAN Pretrain 185 Epochs,https://huggingface.co/HaruNova/HaruNovaRVC/resolve/main/Antoine-AllDayRaffyAdrenalineDubs.rar?download=true
Sonic the Hedgehog - Ryan Drummond (Sonic Heroes) RVC V2-TITAN Pretrain 240 Epochs,https://huggingface.co/HaruNova/HaruNovaRVC/resolve/main/Sonic-RyanDrummondHEROES.rar?download=true
"Alyx Vance (Half-Life 2, Rus Dub) | RVC v2 | RVMPE | TITAN-Medium | 300 Epochs",https://huggingface.co/Mlaofmd/silly-homework-shit/resolve/main/AlyxRUS.zip?download=true
KR-VALOLANT_Fade(RVC v2 | RMVPE | KLMs7 Batch 3 | 300 Epochs),https://huggingface.co/liilliliiiliil/VALOLANT_FADE/resolve/main/VALOLANT_FADE.zip?download=true
JP-Re:ZERO/エミリア | Emilia (RVC v2 | RMVPE | KLMs7 Batch 3 | 500 Epochs),https://huggingface.co/liilliliiiliil/ReZERO_Emilia/resolve/main/%E3%82%A8%E3%83%9F%E3%83%AA%E3%82%A2_Emilia.zip?download=true
Nappa [DB-FighterZ | 🇺🇸] (RVC v2 | 150 Epochs),https://huggingface.co/SyberGen/DragonBall-Ov2Super/resolve/main/Nappa-FighterZ.zip?download=true
"Star Butterfly (Star vs. The Forces of Evil Russian Dub) (RVC V2, SnowieV3.1 Pretrain) [450 epochs]",https://huggingface.co/iamalexcaspian/StarButterfly-SVTFOE-RusDub-SnowieV3.1/resolve/main/StarButterfly-SVTFOE-RusDub-SnowieV3.1.zip?download=true
Arlecchino (JP) | Genshin Impact | RVC V2 | rmvpe | TITAN | 300 epochs,https://huggingface.co/riezzz/rvc-models/resolve/main/arlecchino-pth-300.zip?download=true
"Sergio Ramos - SR4 (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/SR4Drums.zip?download=true
Setsuna Kiryu - English Dub (Kengan Ashura) (RVC V2) (Titan Pretrain) (RMVPE 32K) (450 epochs),https://huggingface.co/Cauthess/SetsunaKiryu/resolve/main/Setsuna%20Kiryu%20-%20Kengan%20Ashura.zip?download=true
Bardock [DB-FighterZ | 🇺🇸] (RVC v2 | 250 Epochs),https://huggingface.co/SyberGen/DragonBall-Ov2Super/resolve/main/Bardock-FighterZ.zip?download=true
Fang of Metsudo -English Dub (Kengan Ashura) (RVC V2) (Titan Pretrain) (440 epochs),https://huggingface.co/Cauthess/FangofMetsudo/resolve/main/Fang%20of%20Metsudo%20-%20Kengan%20Ashura.zip?download=true
"James (Smiling Friends) (Michael Cusack) (RVC v2, RMVPE) (200 Epochs)",https://huggingface.co/MrSneakyD/SmilingFriends_RVC_Models/resolve/main/James-SmilingFriends.zip
